first_name,last_name,id_number,employment_start_date,monthly_salary,department,multisport
GRZEGORZ,W≥odarczyk,MA-146894-2018,2018-08-27,6151.200000000001 Z£ ,,
Franciszek,Maciejewski  ,sp/494627/2012,,5333.295000000001 z≥,SPRZEDAØ,1
Jacek,JasiÒski,ka/685993/2010,2010-06-10T00:00:00,3410.6200000000003 Z£,KADRY,Nie
Cecylia,Grabowska,CZ/248946/2014,2014-10-27,3336.5 Z£,CZYSTOå∆ ,NIE
Pawe≥,SzymaÒski,sp/397651/2018,2018-05-19,4519.35 pln,SPRZEDAØ,Prawda
KRYSTYNA,Jab≥oÒska,SP/539735/2017,2017/01/04,4995.0 PLN,SPRZEDAØ,nie ma
Emilia ,Wojciechowska,MA/391182/2016 ,2016/01/20,4396.8 Z£ ,MARKETING,Nie
Henryk,Chmielewski,ma/979022/2014,2014/04/10,4567.024 pln,MARKETING,TAK
LUDWIK,piotrowski,KS-731782-2010,2010-09-18,5544.6 Z£,KSI GOWOå∆  ,Nie
Halina,PAW£OWSKA,MA/477132/2017,2017-12-20T00:00:00,3711.4880000000007 Z£,MARKETING,true
£ucja ,Wojciechowska,SP/905823/2012,2012/03/21,4504.5 Z£,SPRZEDAØ ,False
Alfreda,Jankowska,cz/891481/2013,2013-12-31,"2 784,7 Z£",CZYSTOå∆,0
RÛøa,Wieczorek,SP/642838/2018,2018/02/08,4784.85 PLN,SPRZEDAØ,nie
R”ØA,Majewska,MA/618440/2010,2010-01-11,5145.6 z≥,MARKETING ,FA£SZ
Michalina,StÍpieÒ,KS/922768/2013,2013-11-11,"6 329,400000000001 z≥otych",KSI GOWOå∆,ma
W≥adys≥awa,JasiÒska,SP/249691/2011,2011/10/23,4800.6 PLN,SPRZEDAØ,
BOGUS£AW ,Gajewski,SP/624360/2013  ,2013/08/03,"4 344,450000000001 Z£",SPRZEDAØ,1
Alfred,GÛrski,KA_547801_2013,2013-12-31,"5 066,95 PLN",KADRY,0
Lucjan,Krupa,ka/544772/2014,2014-05-30T00:00:00,4248.395 z≥,KADRY,FA£SZ
Eløbieta,Nowakowska,OC.765140.2013,2013-08-03,2397.4500000000003 z≥,OCHRONA,
EDYTA,gÛrska,SP/800343/2012,2012/06/29,4317.0 PLN,SPRZEDAØ  ,nie ma
Jolanta,Wiúniewska ,ks/578532/2011,2011-02-15,6426.0 Z£,KSI GOWOå∆,Nie
Michalina,KrÛl,MA.484214.2014,2014-04-10,5454.240000000001 Z£,MARKETING,Prawda
w≥adys≥aw ,Sadowski,MA/442450/2015,2015-03-26,4727.360000000001 pln,MARKETING,True
Bogdan,Sawicki,lo/570357/2013,2013-04-25 ,3411.585 z≥otych,LOGISTYKA,False
KATARZYNA,Majewska,MA-191760-2012,2012-05-10T00:00:00,5227.200000000001 Z£,MARKETING,PRAWDA
Wies≥awa  ,Witkowska,SP/492417/2010,2010-03-02,"3 706,2000000000003 Z£",SPRZEDAØ,nie
Wies≥awa,rutkowska,KS.121462.2011  ,,5430.0 PLN,KSI GOWOå∆,false
Rozalia,nowak  ,OC_801899_2010,2010-06-10,2807.2000000000003 pln,OCHRONA,PRAWDA
henryka,GÛrska,SP.575287.2017,2017-07-23,3560.7000000000003 Z£,SPRZEDAØ,Tak
Rafa≥,,MA/398532/2009,2009-08-14,3383.6800000000003 pln,MARKETING,nie ma
KAROLINA,wieczorek ,CZ-549198-2017 ,2017-12-20,2703.8 pln,CZYSTOå∆,nie
Marcin,Sikorski,SP/771068/2012,2012/06/29,"3 576,0 pln  ",SPRZEDAØ,False 
zbigniew,Piotrowski,KS/942203/2010,2010-03-02T00:00:00,6282.0 PLN,KSI GOWOå∆,NIE MA
Krzysztof,UrbaÒski ,lo/777511/2017,2017-09-11,"4 615,650000000001 PLN",LOGISTYKA,nie
Leon,Nowak,sp/216735/2014,2014-07-19,3811.5 z≥otych,SPRZEDAØ,0
Justyna,Pawlak,SP/381625/2015,2015-03-26,5292.210000000001 z≥,SPRZEDAØ,Prawda
Wac≥aw,Bπk,SP/170318/2017,2017-07-23,4655.25 z≥otych,SPRZEDAØ,false
Gertruda,Grabowska,MA/373975/2013,2013-01-15T00:00:00,4607.68 z≥,MARKETING,ma
Czes≥aw,Dπbrowski ,CZ/879588/2009,2009/06/25,2755.5 z≥,CZYSTOå∆,Prawda
Marianna,Woüniak,SP/148843/2015,2015-08-23,3388.6499999999996 z≥otych,,0
Eugeniusz,Zakrzewski,KS/677925/2014,2014-05-30,"7 411,8 Z£   ",KSI GOWOå∆,true
Eleonora,WIåNIEWSKA,KA/787512/2015,2015-02-04T00:00:00,4535.3 pln,KADRY  ,nie ma
iwona,Kowalska,KS/785454/2016,2016/08/07 ,5481.3 z≥,KSI GOWOå∆,Tak
ALINA,Pietrzak,KA/646681/2013,2013-09-22,4499.650000000001 z≥,KADRY,NIE
Grzegorz,w≥odarczyk,cz/307216/2011,2011/02/15,2144.0 z≥otych,CZYSTOå∆,FA£SZ
Jerzy,Kaümierczak,CZ_970861_2015,2015-05-15T00:00:00,2802.0 pln  ,CZYSTOå∆,FA£SZ
ADELA,Wieczorek,MA/802128/2017,2017-06-03T00:00:00,5412.0 z≥,MARKETING,MA
Adela,Kaczmarek ,KA/245087/2015,2015/03/26,4794.150000000001 z≥otych,KADRY,nie  
Miros≥aw,Lis,MA/238524/2017,2017-09-11 ,5195.52 pln,MARKETING  ,PRAWDA
Bogus≥aw ,Krupa ,SP/112369/2016,2016-04-29,"5 217,9 pln",SPRZEDAØ ,Fa≥sz
Grzegorz,Sawicki,SP.557973.2018,2018-08-27,"3 859,185000000001 PLN  ",SPRZEDAØ,1
Anna,WOJCIECHOWSKA ,MA-425318-2014,2014/02/19,"4 921,6 Z£",MARKETING,FA£SZ
gertruda  ,Michalak,LO/909431/2012,2012-03-21T00:00:00,"3 166,0200000000004 Z£",LOGISTYKA,1
ludwika,Lewandowska,KS/153299/2016,2016-03-10,"6 566,4 PLN",KSI GOWOå∆,nie    
Anna,wÛjcik,KS_224551_2015,2015-02-04,4818.0 Z£,KSI GOWOå∆,Fa≥sz
pawe≥,nowicki,LO/113278/2010,2010-11-07T00:00:00,4299.75 PLN,LOGISTYKA,nie ma
Krzysztof,Kubiak,KS/773766/2009,2009/10/03,5426.4 PLN,KSI GOWOå∆,FA£SZ
Adela,piotrowska,LO_586467_2018,2018/03/30,"4 367,385000000001 PLN",LOGISTYKA,MA
ALFRED,Borkowski,KS/642636/2017,2017-04-14T00:00:00,"4 696,8 z≥otych",KSI GOWOå∆,nie ma
henryka,Nowicka,lo/264399/2013,2013-08-03,"3 986,55 z≥otych",LOGISTYKA,NIE MA
,Mazurek,ma/176212/2015,2015-02-04T00:00:00,3369.6000000000004 pln,MARKETING  ,False
Lucyna,Kowalska ,CZ.462778.2011,2011-09-03,"3 296,7000000000003 PLN",CZYSTOå∆,MA
Andrzej,W≥odarczyk,ma/193459/2017 ,2017-01-04,5112.624000000001 z≥,MARKETING,TAK 
Natalia,Dπbrowska,CZ/220176/2017,2017-09-11,"3 499,1000000000004 pln",CZYSTOå∆,Tak 
,WALCZAK,LO.136259.2009,2009-08-14,4422.6 Z£,LOGISTYKA,NIE 
Eleonora,Lewandowska,ks/378151/2010,2010-07-30,6624.200000000001 Z£,KSI GOWOå∆,Prawda
Zdzis≥awa,Walczak,SP/613196/2013,2013-01-15,4604.49 z≥,SPRZEDAØ,True
Aleksander,WrÛblewski ,MA/467667/2016,2016-04-29,3938.8800000000006 Z£,MARKETING,MA
ZDZIS£AW,szewczyk,SP/857562/2009,2009-06-25T00:00:00,"3 460,7999999999997 PLN",SPRZEDAØ,false
Bogus≥aw ,G≥owacki,cz/318591/2015,2015-12-01,2413.0 z≥,CZYSTOå∆,nie
ZDZIS£AWA,Witkowska,KS/129450/2015,2015-12-01,5232.2 z≥otych,KSI GOWOå∆,NIE MA
ELØBIETA,Dπbrowska,SP/597699/2016,2016-01-20,"4 967,655 pln",SPRZEDAØ,true
Urszula ,kwiatkowska,LO-397526-2016,2016-03-10,4248.990000000001 PLN,LOGISTYKA ,Fa≥sz
Barbara,kamiÒska,lo/981527/2012,2012/10/07,"4 933,170000000001 pln",LOGISTYKA,PRAWDA
ewa,KrÛl  ,MA/950436/2010,2010-12-27,3364.8 Z£,MARKETING,nie ma
,Duda,CZ/840383/2016,2016-06-18,2383.4 pln,CZYSTOå∆,FA£SZ
leon,Jaworski,OC/816940/2009,2009/11/22,3287.02 z≥otych,OCHRONA,Fa≥sz
Alicja,Kaczmarek  ,LO/532110/2013,2013-04-25,"4 649,805 z≥",LOGISTYKA,False
Aniela,KACZMAREK,ks/679566/2014,2014/04/10,4826.0 Z£,KSI GOWOå∆,False
Honorata,Kwiatkowska,MA/146222/2010,2010-03-02T00:00:00,"5 715,776000000001 pln",MARKETING,tak
Alfred ,Jankowski,KA/741468/2014,2014/05/30,"4 866,6900000000005 PLN",KADRY  ,false
Rafa≥,KRAWCZYK,SP/652074/2017,2017-01-04,3585.615 pln,SPRZEDAØ,PRAWDA
Sylwester,Sadowski,LO/872150/2013,2013-12-31,"3 163,995 pln",LOGISTYKA,
Lech ,Paw≥owski,SP/390554/2012,2012/01/31,4501.5 z≥,SPRZEDAØ,Fa≥sz
Ludwika,Olszewska,LO_621609_2013 ,2013-12-31T00:00:00  ,4514.400000000001 z≥,LOGISTYKA,nie
,Duda,SP-659090-2010,2010-11-07T00:00:00,4476.9 Z£,SPRZEDAØ,False
W≥odzimierz,JAKUBOWSKI,LO/428654/2012,2012-05-10,"4 059,4500000000003 PLN",LOGISTYKA,Nie
Zofia,Rutkowska,SP/557954/2011  ,2011/09/03,4370.700000000001 z≥,SPRZEDAØ,0
Daniela,Tomaszewska,ks/861545/2018,2018-03-30T00:00:00,4236.0 Z£,KSI GOWOå∆,nie
Waldemar,ZieliÒski,LO/530945/2010,2010/11/07,3412.5300000000007 Z£,LOGISTYKA,MA 
